,CTL1,CTL12,CTL13,HIV1_Bal1,HIV1_Bal2,HIV1_Bal3,HIV1.LTA1,HIV1.LTA2,HIV1.LTA3
ETV7,40,20,35,14,45,52,45,35,21
SPRTN,1449,1346,1006,885,969,1055,969,1112,816
METTL13,4584,3581,1798,2820,2675,2262,3130,3166,1661
DYRK4,2566,2018,1439,1616,1629,1736,1834,1750,1290
ZNF207,17437,14417,10915,10318,9758,11880,11608,12254,9952
UQCRC1,18741,16357,6532,11455,11860,7674,12475,13994,6381
STARD3NL,6170,4986,2881,3746,3828,2852,4405,3704,2371
CD9,10399,9172,7621,6095,6764,7673,7660,7806,7094
HHATL,2,2,0,0,1,1,0,0,1
NCAPD2,53500,42653,26741,32913,30781,31208,36680,43095,28602
IFFO1,2031,1772,1002,1277,1534,1308,1574,1861,1115
GIPR,69,112,34,44,46,64,49,103,50
PHF7,897,997,314,547,602,390,644,756,272
SEMA3G,6,6,1,5,5,4,5,7,0
NISCH,7034,6618,2749,4671,5282,3602,5232,7148,3284
STAB1,6,9,4,7,6,4,6,11,13
FUZ,652,565,300,386,520,369,520,726,364
SLC6A13,8,12,41,13,15,71,11,16,22
IDS,1794,1436,429,1177,1170,522,1347,1356,393
PRSS3,180,139,315,104,109,330,117,105,348
ZNF200,1278,1029,621,772,881,944,848,923,656
CD4,1265,1039,68,808,774,87,936,1292,118
LRRC23,565,532,187,342,451,251,351,472,187
BTK,7,2,8,9,2,2,6,12,6
HFE,1662,1059,557,900,921,687,1076,1364,617
SCMH1,3387,3101,2166,2061,2077,2376,2405,2992,2005
FYN,5342,5158,5160,3318,3627,5783,3887,3837,4958
HIVEP2,5919,4720,2718,3505,3319,3087,4421,4479,2355
FMO1,22,18,11,9,20,5,15,20,7
ELOA,10780,9205,5982,6585,6910,6827,7563,6784,4784
LYPLA2,2144,1877,773,1408,1651,1106,1590,1939,1135
CLCN6,2556,2150,1788,1592,1797,2212,1724,2004,1850
MRC2,7205,7173,2490,4849,4768,3527,5744,7254,3731
NME1-NME2,74,242,31,46,50,51,50,50,60
SLC6A7,42,34,5,25,28,25,36,27,18
TSPAN9,3076,2480,2238,1937,1937,2533,2287,2864,2787
BTBD7,5026,4379,1472,2946,3159,1710,3512,3682,1356
APBA3,395,345,130,257,312,209,319,354,183
MKS1,1649,1409,845,1065,1191,990,1119,1357,743
ABHD5,5923,5132,3669,3479,4225,4105,4411,4110,2907
ANOS1,579,527,435,360,402,546,408,415,628
AKAP8L,4119,3568,2149,2567,2487,2622,2960,3148,2020
MBTD1,3052,2457,1125,1713,1876,1214,2209,2501,1129
UTP18,4015,3452,2425,2345,2586,2663,2864,2553,2145
RNF216,4276,3944,2246,2576,2905,2549,3110,3437,2072
TTC19,6063,5202,2640,3685,3845,2930,4272,4681,2175
PTBP1,23073,20845,11391,15075,16858,13714,17538,17431,10645
DPF1,365,321,258,225,300,318,298,307,248
SYT7,20,20,44,7,10,80,9,14,84
LARS2,7606,6059,2938,4377,4469,3417,5326,5295,3022
PIK3C2A,12403,10548,7840,7666,7669,8294,9125,8308,6529
PLAUR,4770,5040,1697,3103,3874,2240,3373,2449,1596
ANLN,91705,83458,44058,55575,58380,47122,65485,61760,36469
WIZ,2008,2140,1099,1268,1690,1460,1631,1605,1252
RABGAP1,12047,9994,7407,7195,7132,8379,8351,9592,7644
DCN,130,81,0,66,56,0,88,180,0
QPCTL,638,676,465,429,462,526,516,512,424
PPP5C,7466,6523,3406,4636,5235,4158,5293,5696,3723
CEP68,1601,1536,1200,1009,1000,1359,1185,1702,1446
MAP4K3,4662,4187,6031,2835,3003,6311,3281,3212,4786
ZBTB32,18,23,1,10,19,6,13,23,6
TYROBP,1,0,0,0,0,0,0,0,0
LDAF1,700,584,909,395,438,1039,522,478,1005
GABRA3,44,70,49,16,40,86,35,70,84
BRCA1,13874,10575,6231,8003,8530,7394,9648,9873,6142
ERCC1,4057,4286,2736,2379,2980,3359,3083,3296,2817
CD22,38,53,28,21,37,60,32,39,54
SEMA3B,2704,2458,149,1683,1948,182,2138,2477,298
MBTPS2,6300,5545,2847,3700,3980,3203,4592,4576,2360
PRICKLE3,127,95,0,73,77,5,96,107,3
LTF,5,1,0,2,2,2,0,3,0
EXTL3,6430,5225,3349,3796,3772,4060,4458,4796,3712
NR1H4,7,6,17,9,16,23,5,3,9
ELOVL5,18005,15807,10939,11041,11432,12613,13467,12816,10192
ALOX5,3,6,3,4,3,6,6,11,1
KDM5D,2722,2289,2545,1686,1759,3272,2021,2418,2720
CALCOCO1,7212,6116,3087,4241,3784,3506,5051,7759,3580
UBR7,6466,5588,1750,3888,4017,2080,4439,4839,1740
MAP4K5,12889,11704,13269,7914,8469,14196,9519,8542,10872
EHD3,1596,1288,999,963,999,1333,1030,1004,1240
PSMC4,9053,8820,6222,5834,6709,7922,6796,6186,5963
MAN2B2,6277,6160,1832,4106,4257,2139,4822,6236,2525
SLC7A14,11,4,19,5,10,33,9,11,16
CLDN11,24557,20681,25357,13080,13895,24882,17142,18901,32167
SLC25A39,5916,5906,2605,3846,4604,3549,4300,4911,3518
MVP,5614,4560,1660,3029,3286,2291,4122,5425,2628
NUB1,11516,9448,7534,7062,6489,8290,8275,8586,7104
PGM3,14044,11554,6445,8141,8537,7093,9768,9462,5723
RWDD2A,1645,1309,498,1021,893,486,1109,1225,507
CLK1,5689,4910,3967,3446,4087,4539,4075,4118,3922
POLR3B,3106,2733,1784,1734,2045,2133,2085,1850,1646
ANGEL1,1391,1196,312,870,807,396,976,1101,284
RNF14,5566,4850,5486,3623,3662,5970,4241,3941,4680
DNASE1L1,1631,1546,507,946,1088,503,1012,1604,493
DDX11,5541,5344,2628,3604,4162,3339,4132,4627,2961
HEBP1,3124,2346,1533,1762,1833,1712,2152,2353,1604
GPRC5A,24607,24581,21543,14322,16704,21777,17938,16871,20121
MAMLD1,1985,2078,1068,1296,1451,1314,1518,1596,1032
CD6,0,4,8,2,3,10,3,2,4
TACC3,14017,13088,4176,8758,10337,5020,10655,11854,4741
UFL1,6521,5843,3041,3936,4049,3470,4703,4694,2713
POLA2,947,850,456,617,612,484,755,685,437
ZC3H3,604,596,325,351,469,378,423,568,363
CAPN1,9602,10332,6340,6261,7417,8399,7479,7792,8186
ACP3,0,0,0,0,0,0,1,2,2
MDH1,16833,13317,16319,10106,9644,16910,12170,12282,15339
SLC30A9,19481,17444,6468,11790,12351,6690,13955,13931,5904
MTMR11,1325,1105,472,720,739,523,782,1139,439
COX15,4160,3462,2019,2405,2422,2461,2871,2981,1857
CCDC88C,100,71,44,30,63,31,43,51,22
YAF2,3090,2534,1596,1899,1950,1686,2204,2055,1298
ZMYND11,8410,7536,6766,5147,5049,7318,6025,5818,5734
WAS,15,10,6,17,12,5,15,13,3
DPEP1,0,0,0,0,0,0,0,0,0
BID,1983,1686,1170,1253,1479,1304,1464,1334,1195
MATR3,5632,4510,4156,3197,3346,4621,3881,3673,3597
NPC1L1,7,1,0,7,2,4,3,6,5
XYLT2,2022,1905,905,1359,1354,1119,1552,1811,1116
RGPD5,15,11,8,7,11,10,8,12,10
STMN4,6,3,3,1,4,8,2,4,2
NUDCD3,9319,7891,3170,5370,5921,3861,6462,6954,3065
ISL1,7,5,0,0,4,3,6,2,0
CHDH,8,7,1,9,4,2,3,2,3
IL20RA,8,4,0,6,6,0,5,2,2
CLCA1,4,0,0,0,0,0,1,0,0
CLCA4,0,0,0,0,0,0,0,0,0
GLT8D1,6250,5260,2557,3822,3373,2581,4324,4732,2640
ATP2C1,18291,16840,18659,11282,12185,19365,13333,12493,15992
IGF1,2,0,1,2,1,0,2,1,0
SLC38A5,169,203,450,108,136,622,136,110,438
RALBP1,19085,16326,10097,11459,11433,11615,14026,13583,10104
RUFY3,3258,2927,1820,1999,1956,1935,2483,2648,1607
CNTN1,0,2,13,0,0,18,4,0,2
SLC11A1,23,6,4,16,13,4,13,12,6
WWTR1,8928,7564,3378,5339,5361,3738,6614,6831,3495
AGPS,10733,9348,5014,6278,7055,5563,7751,7215,4114
ZNF285CP,17,12,6,7,10,4,11,12,1
STEEP1,5166,4371,3333,2992,3444,3704,3730,3395,2781
ATP1A2,10,8,0,6,2,0,4,7,2
TTC27,2301,2143,3713,1444,1617,3974,1688,1502,2867
ZNF582,16,6,25,8,6,70,10,15,34
VSIG2,75,58,125,65,86,145,70,60,136
PHLDB1,4540,4382,3721,2969,3244,4793,3321,4166,3638
MARCO,0,0,0,0,0,5,0,0,0
CYP24A1,416,496,11773,252,436,11706,335,235,7416
PRDM11,1019,1062,480,651,752,517,708,849,482
SYT13,9,6,2,8,10,4,4,8,0
SNAI2,1598,1479,1214,995,1283,1485,1070,902,998
CD74,8,5,17,6,14,12,7,16,7
HGF,6,18,0,2,2,0,5,8,0
ZRANB1,4232,3958,2933,2612,2725,3200,3054,2848,2373
NCDN,1788,1872,1014,1294,1428,1336,1438,1536,1064
ADGRA2,2005,1968,645,1306,1497,852,1391,2032,812
CCT8L1P,0,0,0,0,0,0,0,0,0
ZFP64,1674,1537,987,1055,1080,1298,1215,1324,1055
MNAT1,5562,4710,3524,3235,3564,3964,3857,3345,2968
SAMD4A,10856,10958,12310,6317,7318,13803,8032,7055,8976
RUNX3,421,343,213,215,328,296,306,341,213
MRE11,8085,7236,5816,4690,4839,6141,5728,6358,5559
PLEKHB1,1,4,1,2,4,2,0,0,2
SERPINB1,3385,2822,1739,1853,1923,1853,2364,2609,1617
CYP3A43,0,7,5,2,0,0,0,0,0
SLC7A9,6,5,9,4,3,13,2,7,4
SPAST,4111,3353,3310,2326,2442,3803,2865,2981,3138
NRXN3,3017,3221,2164,1878,2196,2149,2275,2310,1849
OSBPL5,442,461,330,331,406,466,432,611,392
AQR,16739,14620,6037,9960,10156,6886,12172,11834,5757
CPS1,12245,10806,4620,7712,7538,5634,9090,10110,5377
C8B,0,0,0,2,0,0,0,0,0
FHL1,19412,15477,7923,10779,10020,8019,13132,14806,7605
RTF2,27347,23403,15224,16767,16584,16982,19239,19262,13713
GABRA1,0,0,0,0,0,0,0,0,0
NLRP2,2902,2151,661,1716,1874,800,1960,2048,648
SLC45A4,762,749,429,451,565,549,567,588,468
RNF10,17205,14255,6311,10427,10234,7255,12195,12138,5714
ZNF839,751,689,225,470,469,234,569,621,203
ZDHHC6,5230,4341,3369,3111,3404,3772,3736,3418,3093
GRAMD1B,530,434,1051,275,331,1294,286,373,838
RNH1,3146,3489,1351,2057,2802,1860,2383,3128,1883
NDUFS1,23070,19538,16907,13734,14265,18988,15786,16269,15272
RB1CC1,10772,9011,6405,6398,6359,7198,7865,7515,6106
ERP44,6438,5555,3254,4041,4264,3868,4858,5133,3404
ALAS1,8552,7677,4914,5207,5582,5734,5846,6451,4452
BIRC3,734,525,663,461,480,850,622,799,355
AKAP11,13662,11387,5079,8356,8698,5989,9985,9631,4727
GLRX2,2007,1765,1184,1172,1455,1267,1417,1284,888
SNAPC1,15119,14669,6617,8731,10370,7014,11383,9437,4899
DERA,4097,3836,2399,2597,2605,2381,3136,3313,2423
STRAP,28838,25815,17137,17549,18984,18960,20571,17431,14432
ABCC2,67,74,53,44,73,93,42,51,72
DEF6,177,161,85,115,124,153,152,191,135
PLEKHO1,1814,1809,1269,1150,1212,1554,1372,1406,1288
GCLM,7284,6326,6587,4199,4568,7155,5144,4064,4762
UBR2,7792,6122,3889,4615,4833,4603,5845,5734,4011
EHD2,16540,15853,11231,10509,11376,13173,12385,14998,11473
DEPDC1,19854,15948,8376,11776,11503,9080,13885,14172,8313
CCDC28A,3027,2505,1001,1934,1769,1196,2372,2449,1155
RRAGD,1334,1186,375,777,789,378,1004,1059,325
HSF2,5157,4221,2065,3071,2983,2209,3860,3757,1847
PHF20,12966,11580,6412,7456,7840,7148,9304,9555,6185
HSD17B6,178,130,46,108,128,72,104,120,44
NR1H3,207,152,54,110,140,66,149,205,68
TYMP,45,50,5,22,29,8,29,59,9
NCAPH2,3028,3021,1648,1918,2354,1901,2302,2605,1911
TOMM34,5443,4444,2402,3360,3304,2872,3886,4061,2272
SEC63,18129,15656,8001,10892,11517,9449,12986,13031,7511
KPNA6,18496,15476,12191,11493,11372,13626,13038,13650,10767
VIM,65929,62963,156408,41091,47528,177698,46534,38264,118815
RTEL1-TNFRSF6B,422,503,244,283,314,314,293,367,264
FAS,1526,1015,1312,909,678,1263,1044,1402,1044
RNASET2,293,294,136,202,219,133,243,351,108
CD44,51783,40053,44100,28570,31849,53677,33980,27728,46398
KCNG1,235,231,97,122,139,92,127,125,54
AGPAT4,1327,1192,903,799,792,967,941,972,906
SLAMF7,311,172,13,188,161,26,231,221,15
BTN3A1,1903,1142,578,1087,777,705,1321,1708,953
MIPEP,1674,1399,497,1004,981,559,1059,1151,500
PRKCH,409,299,364,251,234,467,290,240,310
INSRR,14,6,5,10,21,19,11,23,24
IFNGR1,5386,4662,1972,3486,3367,1896,3896,3900,1773
B4GALT7,1402,1288,414,910,917,569,1069,1226,549
SH2D2A,0,2,0,1,1,0,8,0,0
VRK2,1606,1375,1513,983,1052,1746,1203,1116,1245
TNFRSF1B,751,519,614,382,342,792,487,625,909
VEZT,6693,5345,5092,4125,3978,5479,4614,4730,4433
POU2F2,1242,1059,1137,768,872,1531,900,838,1395
BRD9,8464,7610,6393,5307,5891,7521,5896,5730,5672
SNX1,14790,12912,6824,8889,9252,7189,10575,12521,6828
TBPL1,2348,2029,978,1544,1487,986,1768,1610,882
ARNTL2,20635,18454,14468,11512,13186,15342,14458,14062,11599
BCLAF1,37922,30433,19184,21551,21560,20880,25945,23020,16204
SLC39A9,13784,11609,4618,8520,8682,5248,9507,11047,4328
ANK1,304,249,263,175,197,275,212,331,380
