,CTL1,CTL12,CTL13,HIV1_Bal1,HIV1_Bal2,HIV1_Bal3,HIV1.LTA1,HIV1.LTA2,HIV1.LTA3
MIR5706,0,0,0,0,0,0,0,0,0
MIR548AR,0,0,0,0,1,0,0,0,1
RN7SL405P,0,0,1,2,0,0,0,0,0
SNORD95,0,0,0,0,0,0,0,0,0
MIR4257,1,7,1,2,0,0,0,0,1
RN7SL793P,0,0,0,0,0,0,0,0,0
MIR3162,0,0,0,0,0,0,0,0,3
MIR4633,0,0,0,0,0,0,0,0,0
MIR23C,0,0,0,0,0,0,0,0,0
DCXR-DT,28,20,6,7,17,14,17,24,27
MIR4529,0,0,0,0,0,0,0,0,0
MIR4296,1,0,0,0,0,2,0,0,0
RN7SL15P,4,2,0,0,2,0,1,1,0
MIR5692B,0,0,0,0,0,0,0,0,0
RN7SL326P,0,0,0,0,0,0,0,0,0
MIR4487,0,0,0,0,0,0,0,0,0
MIR4449,0,0,0,0,0,0,0,0,0
RN7SL131P,0,0,0,1,0,0,0,1,0
MIR3159,0,0,0,0,0,0,0,0,0
MIR3173,0,0,0,0,0,0,0,0,0
MIR4685,0,1,0,0,0,0,1,0,0
RN7SL290P,0,0,0,0,0,0,0,0,0
MIR5588,0,1,0,0,0,0,0,0,0
RN7SL592P,0,0,0,0,0,0,0,0,0
MIR4755,1,0,0,0,0,0,0,0,0
RN7SL732P,0,0,0,0,0,0,0,0,0
MIR5591,0,0,0,0,0,0,0,0,0
MIR4796,0,0,0,0,0,0,0,0,0
MIR4271,0,0,0,0,0,0,0,0,0
MIR3152,0,0,0,0,0,0,0,0,0
MIR5194,0,0,0,0,0,0,0,0,0
MIR3171,0,0,0,0,0,0,0,0,0
MIR4798,0,0,0,0,0,0,0,0,0
MIR3200,0,0,0,0,0,0,0,0,0
SEPTIN4-AS1,27,32,9,32,14,11,53,49,12
MIR4285,1,1,0,0,0,0,0,1,1
RN7SL204P,0,0,0,0,0,0,0,0,0
MIR3140,0,0,0,0,0,0,0,0,0
MIR4773-1,0,0,0,0,0,0,0,0,0
PRPF19P1,0,0,0,0,0,0,0,0,0
MIR4255,0,0,0,0,0,0,0,0,0
MIR4752,0,0,0,0,0,0,0,0,0
RN7SL217P,0,0,0,0,0,0,0,0,0
L3MBTL4-AS1,0,0,0,0,0,0,0,0,0
MIR4504,0,0,0,0,0,0,2,0,0
NPY4R2,4,2,6,4,2,17,3,0,11
MIR3117,0,0,0,0,0,0,0,0,0
MIR3670-2,0,0,0,0,0,0,0,0,0
MIR3129,0,0,0,0,0,0,0,0,0
MIR4638,0,0,0,0,0,0,0,0,0
MIR4718,0,0,0,0,0,0,0,0,0
MIR4511,0,0,0,0,0,0,0,0,0
MIR4505,0,0,0,0,0,0,0,0,0
DPRXP4,0,3,1,0,4,0,1,1,0
MIR3689C,0,0,0,0,0,0,0,0,0
TTC39C-AS1,5,1,0,4,2,3,0,2,2
MIR3924,0,0,0,0,0,0,0,0,0
MIR3131,0,0,0,0,0,0,0,0,0
MIR3198-1,0,0,4,0,1,0,0,0,0
MIR3141,0,0,0,0,0,0,0,0,0
MIR4295,0,0,0,0,0,0,0,0,0
MIR4772,0,0,0,0,0,0,0,0,0
RN7SL237P,0,0,0,0,0,0,0,0,0
MIR4420,1,0,0,0,0,1,0,0,0
MIR4537,0,0,0,0,0,0,0,0,0
MIR3148,0,0,0,0,0,0,0,0,0
MIR4637,0,0,0,0,0,0,0,0,1
MIR4771-1,0,0,0,0,0,0,0,0,0
MIR5009,0,0,0,1,0,1,0,0,0
MIR4294,0,0,0,0,0,0,0,0,0
MIR5191,0,0,0,0,0,0,0,0,0
MIR378C,0,0,0,0,0,0,0,0,0
MIR4441,0,0,0,0,0,0,3,0,1
MIR1273C,1,4,0,0,0,0,0,0,0
MIR3154,0,0,0,0,0,0,0,0,0
MIR5571,0,0,0,0,0,0,0,0,0
RN7SL468P,0,0,0,0,0,0,0,0,0
VN1R71P,0,0,0,0,0,0,0,0,0
RN7SL404P,1,3,0,1,0,0,0,0,2
LOC105372179,0,0,0,0,0,0,0,0,0
MIR4310,0,0,0,0,0,0,0,0,0
MIR5696,0,0,0,0,0,1,0,3,0
DSG2-AS1,10,14,0,6,1,8,8,8,6
RN7SL45P,0,0,0,0,0,0,0,0,1
MIR3613,3,0,0,1,0,0,0,0,1
RN7SL690P,0,0,0,0,0,0,0,0,0
NOS2P4,0,0,0,0,0,0,0,0,0
MIR3921,0,0,0,0,0,0,0,0,0
MIR3616,0,0,0,0,0,0,0,0,0
MIR5701-3,0,0,0,0,0,0,0,0,0
MIR4494,0,0,0,0,0,0,0,0,0
RN7SL525P,0,0,0,0,0,2,0,0,0
LOC100419894,0,0,0,0,0,0,0,0,0
RN7SL230P,0,0,0,0,0,0,0,0,0
SP2-DT,394,406,325,262,200,257,237,372,287
MIR4540,0,0,0,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0,0,0,0
MIR3138,1,6,1,0,10,1,0,1,0
RN7SL190P,0,0,0,0,0,0,0,0,0
MIR4265,0,0,0,0,0,0,0,0,0
MIR4474,0,0,0,0,0,0,0,0,0
MIR3181,0,0,0,0,0,0,0,2,0
PRR29-AS1,5,7,1,3,4,1,15,7,4
MIR4730,1,0,0,2,0,0,0,0,0
RN7SL440P,0,0,0,0,0,0,0,0,0
MIR5094,1,0,3,0,1,0,0,0,0
MIR4789,0,0,0,0,0,0,0,0,0
MIR4431,0,0,0,0,0,0,0,0,0
RN7SL630P,0,0,0,0,0,1,0,0,0
MIR4436B1,0,0,0,0,0,0,0,0,0
MIR5691,0,0,0,0,0,0,0,0,0
LOC101928251,0,0,0,0,0,0,0,0,0
MIR5092,1,0,0,1,0,0,1,0,0
SNORD92,1,2,8,3,1,2,1,0,3
MIR5089,0,0,0,1,0,0,0,0,0
MARCHF10-DT,0,0,0,0,0,0,0,0,0
MIR4780,0,0,0,0,0,0,0,0,0
MIR548W,0,0,0,0,0,0,0,0,0
MIR4327,0,0,0,0,0,0,0,0,0
MIR3160-1,0,0,0,0,0,0,0,0,0
AGAP12P,2,5,8,0,0,1,2,1,1
RN7SL262P,7,4,3,4,7,0,8,4,2
RN7SL622P,0,0,0,0,0,1,0,0,0
MIR548S,0,0,0,0,0,1,1,0,0
MIR4765,1,0,0,0,0,0,0,0,0
PPY2P,0,0,0,0,0,0,0,0,0
MIR4692,0,0,0,0,0,0,0,0,0
LOC101927188,3,0,0,0,0,1,0,0,1
MIR3622B,0,0,0,0,0,0,0,0,0
RN7SL664P,0,1,0,0,0,0,0,1,0
MIR3691,0,0,0,0,1,0,0,0,0
MIR4655,0,0,0,0,0,0,0,0,0
MIR4484,0,0,0,0,0,2,0,0,0
RN7SL246P,1,0,2,0,1,0,0,2,0
FTLP12,3,2,0,1,0,0,0,3,0
RBM22P1,0,0,0,0,0,0,0,0,0
MIR4510,0,0,0,0,0,0,0,0,0
MIR3942,1,4,0,3,1,0,0,3,0
GJA5,3,7,1,2,9,0,4,5,0
MIR4731,0,3,0,0,1,0,0,0,0
MIR3153,20,19,29,6,14,14,24,10,18
RN7SL200P,0,0,0,0,0,0,0,0,0
MIR3190,0,0,0,0,0,0,0,0,0
MIR5687,0,0,0,0,0,0,0,0,0
MIR3192,1,1,0,3,0,3,0,0,4
MIR4301,0,0,0,0,0,0,0,0,0
RN7SL451P,0,0,0,0,0,0,0,0,0
MIR133A1HG,8,2,0,1,2,0,6,8,1
MIR548AM,0,0,0,0,0,3,0,0,0
SNORD53,1,2,0,0,0,0,0,1,0
TSPOAP1-AS1,42,65,24,22,28,31,38,31,16
MIR151B,0,0,0,0,0,0,0,0,0
MIR5003,4,1,0,0,0,2,0,3,0
MIR2681,0,0,0,0,0,0,0,0,0
MIR4307,0,0,0,0,0,0,0,0,0
MIR4262,0,0,0,0,0,0,0,0,0
MIR3202-1,0,0,0,0,0,0,0,0,0
MIR4728,0,0,0,2,1,0,0,5,2
MIR4790,0,0,0,0,0,0,0,0,0
MIR4674,0,0,0,0,0,0,0,0,0
SRP72P1,1,1,1,0,0,0,0,1,0
LOC100422274,0,0,0,0,0,0,0,0,0
ANXA8,62,56,40,41,32,63,49,66,36
MIR3923,0,0,0,0,0,0,0,0,0
MIR4312,0,3,1,2,0,0,3,0,0
MIR4677,1,4,5,2,1,0,0,3,1
RBP3,0,6,0,0,0,2,0,7,1
MIR4486,0,0,0,0,0,0,0,0,0
MIR3684,0,0,0,0,0,0,0,0,0
MIR4283-2,0,0,0,0,0,0,0,0,0
MIR4269,0,0,0,0,0,0,0,0,0
MIR548AI,0,0,0,0,0,0,0,0,0
MIR4699,0,0,0,0,0,0,0,0,0
SNORD84,0,0,0,0,0,0,0,0,0
MIR3142,0,0,0,0,0,0,0,0,0
LOC100131011,0,0,0,0,0,0,0,0,0
RBM8A,13514,11182,6789,8245,9000,8123,9731,9245,6469
IGLJCOR18,0,0,0,0,0,0,0,0,0
MIR4472-1,0,0,0,0,0,0,0,0,0
MIR4288,0,0,0,0,0,0,0,0,0
MIR3132,0,0,0,1,6,0,5,1,0
MIR4446,0,0,0,0,0,0,0,0,0
MIR4686,0,0,0,0,0,0,0,0,0
RN7SL74P,0,0,0,0,0,0,0,0,0
RN7SL693P,0,0,0,0,0,0,0,0,0
PGDP1,1,0,0,0,0,1,0,1,1
CLUHP6,0,0,0,0,0,0,0,0,0
MIR3935,1,0,0,1,0,1,1,0,0
MIR4770,0,0,0,0,0,0,0,0,0
MIR4710,0,0,0,0,0,0,0,0,0
FEM1AP2,6,0,0,1,0,0,0,2,0
LOC101929240,173,156,37,115,111,80,132,165,44
MIR548AD,0,0,0,0,0,0,0,0,0
MIR3650,0,0,0,0,0,0,0,0,0
MIR3195,0,0,0,0,0,0,0,0,0
RN7SL199P,0,0,0,0,0,0,0,0,0
RN7SL847P,0,0,0,0,0,0,0,0,0
MIR4263,8,2,7,3,1,2,4,9,2
MIR3118-2,0,0,0,0,0,0,0,0,0
RN7SL411P,0,0,0,0,0,0,0,0,0
MIR548AB,0,0,0,0,0,0,0,0,0
MIR4524B,0,0,0,0,0,0,0,0,0
MIR3137,0,0,0,0,0,0,0,0,0
OR4K7P,2,1,0,2,3,0,0,2,0
MIR5188,8,2,0,1,1,4,3,2,0
MIR4291,0,0,0,0,0,0,0,0,0
LINC01899,0,0,0,0,0,0,0,0,0
TIMM23,6684,5701,4398,4136,4607,4878,4916,4278,3944
MIR3136,3,0,1,0,1,2,0,0,0
MIR4493,0,0,0,0,0,0,0,0,0
GLUD1P2,29,21,7,25,9,10,20,27,3
MIR4476,0,0,0,0,0,0,0,0,0
PCAT18,0,0,0,1,0,0,0,0,0
MIR4682,3,0,1,0,0,0,0,0,0
MIR4675,0,0,0,0,0,0,0,0,0
MIR3180-2,0,0,0,0,0,0,0,0,0
MIR4679-2,0,0,0,0,0,0,0,0,0
MIR466,0,0,0,0,0,0,0,0,0
RN7SL219P,1,0,1,3,4,2,1,1,2
RN7SL391P,0,0,0,0,0,1,0,0,0
MIR4999,0,3,0,1,1,2,0,6,0
MIR4252,0,0,0,0,0,1,0,0,0
MIR3944,4,4,1,1,3,2,8,0,0
MIR3128,0,0,0,0,0,1,0,1,0
MIR4324,3,0,0,2,0,0,0,0,0
RN7SL656P,0,0,0,0,0,0,0,0,0
LOC100129774,3,9,0,3,1,2,0,1,1
MIR4261,0,0,0,0,1,0,0,3,0
MIR4779,0,0,0,0,0,0,0,0,0
MIR4684,0,0,0,0,0,0,0,0,0
MIR4652,0,0,0,0,0,0,0,0,0
MIR4782,4,0,0,3,2,0,0,3,1
MIR4308,0,0,2,0,0,1,0,0,0
MIR4447,0,0,0,0,0,0,0,0,0
MIR3121,0,0,0,0,0,0,0,0,0
RN7SL811P,0,0,0,0,0,0,0,0,0
MIR3941,0,1,0,0,0,0,0,0,1
MIR4733,1,0,0,5,0,0,0,2,1
MIR4502,5,0,1,0,0,0,2,0,0
MIR3682,8,22,14,13,7,9,6,7,11
MIR3672,0,0,0,0,0,0,0,0,0
MIR3680-1,2,4,3,0,0,4,0,0,0
MIR4768,0,0,0,0,0,0,0,0,0
MIR548AQ,0,0,0,0,0,0,0,0,0
DTX2P1-UPK3BP1-PMS2P11,52,47,27,34,37,30,41,54,44
KRT18P55,1,7,1,1,4,1,1,2,0
MIR4443,1,0,0,0,0,0,0,0,0
LINC01915,0,0,1,0,0,0,0,2,1
RN7SL518P,0,0,0,0,0,0,0,0,0
ARHGAP44-AS1,8,2,0,2,7,2,0,0,2
RNF115,5846,5272,4097,3436,4137,4433,4194,4256,3467
MIR3156-2,3,0,0,0,0,0,0,0,0
MIR1269B,0,0,0,0,0,0,0,0,0
MIR4435-1,0,0,0,0,0,0,0,0,0
MIR4436A,0,0,0,0,0,0,0,0,0
LINC01892,0,0,0,0,0,1,0,1,0
MIR548V,0,2,0,0,0,0,0,0,0
MIR5697,1,0,0,0,0,0,0,1,2
MIR4304,0,0,0,0,0,0,0,0,0
MIR5690,0,0,0,1,0,0,0,0,0
FCGR1CP,8,13,3,3,3,3,7,3,0
DSEL-AS1,1,9,0,2,1,0,2,3,1
RN7SL475P,0,0,0,0,0,0,0,0,0
MIR3180-1,0,0,0,0,0,0,0,0,0
MIR4421,1,0,0,0,0,0,0,0,0
MIR3164,3,4,6,0,0,3,0,4,3
H3P41,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0
LINC01903,0,0,0,0,0,0,1,0,0
MIR3918,0,0,0,0,0,0,0,0,0
RN7SL652P,0,0,0,0,2,0,1,0,1
MIR1268B,0,0,0,0,0,0,0,1,0
PIGPP4,0,0,0,0,0,0,0,0,0
MIR3143,4,2,0,0,0,6,2,1,2
RN7SL605P,3,0,1,2,2,4,3,5,1
MIR3978,0,0,0,0,0,0,0,0,0
MIR5708,0,0,0,0,0,0,0,0,0
CFAP298-TCP10L,346,334,196,231,259,177,252,266,177
MIR4756,0,0,0,0,0,0,0,0,0
MIR3659,0,0,0,0,0,0,0,0,0
MIR5707,0,0,0,0,0,0,0,0,0
MIR4471,0,0,0,0,0,0,0,0,0
MIR4695,0,0,0,0,0,0,0,0,0
MIR4539,0,0,0,0,0,0,0,0,0
MIR548AG2,0,0,0,0,0,0,0,0,0
MIR3139,0,0,0,0,0,0,0,0,0
BNIP3P3,0,0,0,0,0,0,0,0,0
MIR3612,0,0,0,0,0,0,0,0,0
LOC100421257,0,0,0,0,3,1,0,0,0
MIR3929,3,0,0,0,0,0,0,0,0
TUFMP1,0,2,0,0,1,0,0,0,0
RN7SL279P,0,0,0,0,0,0,1,0,0
MIR548AK,5,0,3,1,0,0,0,1,0
MIR3151,0,0,0,0,0,0,0,0,0
MIR3690,0,0,0,0,0,0,0,0,0
MIR4664,0,1,0,0,0,0,0,0,0
RARA-AS1,54,55,21,35,42,44,47,65,18
MIR548AJ1,0,0,0,0,0,0,0,0,0
MIR4508,0,0,0,0,0,0,0,0,0
RN7SL708P,0,0,0,0,0,0,0,0,0
RPL17,12342,10133,5989,7089,8099,6599,8479,7172,4942
MIR4267,0,0,0,1,0,0,0,0,0
SYPL1P2,9,10,9,5,10,5,1,7,1
RN7SL378P,0,0,0,1,0,0,0,0,0
MAFG-DT,94,114,47,70,87,68,63,88,38
MIR4460,0,0,0,0,0,0,0,0,0
LINC01970,6,19,0,7,2,0,2,5,4
MIR4774,0,0,0,0,0,0,0,0,0
MIR548AE2,0,0,0,0,0,0,0,0,0
LOC105371855,1,4,4,3,0,4,4,10,0
SNORD53B,34,53,55,10,17,70,26,33,36
LOC100422053,0,0,0,0,0,0,0,0,0
LOC100421100,0,0,0,1,0,0,0,0,0
MIR4681,0,0,0,0,0,0,0,0,0
MIR4284,5,10,3,0,2,1,3,1,2
MIR3144,0,0,0,0,0,0,0,0,0
RN7SL648P,0,0,0,0,0,0,1,0,0
SNORA74C-1,2,0,1,0,0,1,0,0,2
MIR4438,0,0,0,0,0,0,0,0,0
RN7SL339P,0,0,0,0,0,0,0,0,0
MIR4427,0,0,0,0,0,0,0,0,0
RN7SL375P,0,0,0,0,0,0,0,0,0
RN7SL444P,1,4,2,1,1,0,1,0,1
ZNF488,334,283,136,211,215,159,247,341,194
CXADRP3,100,114,87,63,83,87,77,86,80
MIR4506,0,0,0,0,0,0,0,0,0
MIR3670-3,0,0,0,0,0,0,0,0,0
RN7SL624P,0,1,0,0,0,0,0,0,0
ZNF516-AS1,31,24,58,14,14,57,24,6,46
LINC01906,57,42,56,27,51,78,40,28,67
CYP4F35P,61,47,22,24,43,52,40,47,35
MIR4330,0,0,0,0,0,0,0,0,0
RNASEH1P1,0,0,1,0,0,0,0,2,0
MIR3118-4,0,0,0,0,0,0,0,0,0
RN7SL49P,5,4,1,4,3,1,2,2,1
MIR4292,44,77,7,9,38,19,31,31,13
SEC22B,18015,14398,10238,10340,10897,11702,12509,12268,10450
MIR3907,0,0,0,0,0,0,0,0,0
RN7SL300P,0,0,0,0,0,0,0,0,0
RN7SL376P,1,0,0,0,1,0,0,0,0
FSBP,875,819,594,549,569,592,659,663,429
MIR3177,0,0,0,0,0,0,0,0,2
MIR4422,0,0,0,0,0,0,0,0,0
MIR3939,21,8,7,8,13,8,10,19,3
MIR548AG1,0,0,0,0,0,0,0,0,0
MIR3123,0,0,0,0,0,0,0,0,0
CCND3P2,0,0,0,0,0,0,1,0,0
MIR548X,0,0,0,0,0,0,0,0,0
LINC01029,0,0,0,0,1,1,2,0,0
LOC101927018,7,11,4,4,2,9,7,2,5
MIR4276,0,0,0,0,0,0,0,0,0
MIR4287,0,0,0,0,0,0,0,0,0
MIR3689D1,0,0,0,0,0,0,0,0,0
MIR4797,1,0,3,0,0,0,0,0,0
MIR4514,0,0,2,0,0,0,0,0,0
MIR5704,0,0,0,0,0,0,0,0,0
MIR4495,0,0,0,0,0,0,0,0,0
MIR4516,0,0,0,0,0,0,0,1,0
MIR3174,1,0,3,1,0,1,0,0,0
MIR3689A,0,0,0,0,0,0,0,0,0
MIR4289,0,0,0,0,0,0,0,0,0
MIR4489,1,2,5,6,3,1,7,2,3
MIR3914-1,0,0,0,0,0,0,0,0,0
MIR4748,0,0,0,0,0,0,0,0,0
PDLIM1P2,0,0,0,0,0,0,0,0,0
RN7SL73P,0,0,0,0,0,0,0,0,0
RN7SL783P,0,0,0,0,0,0,0,0,0
DSCAS,0,0,0,0,0,0,0,0,0
RN7SL311P,0,0,0,0,0,0,0,0,0
RN7SL357P,0,0,0,0,0,0,0,0,0
MIR4696,0,0,0,0,0,0,0,0,0
RN7SL96P,0,1,0,0,0,0,0,0,0
MIR3685,16,14,7,9,3,12,4,10,9
RN7SL543P,0,0,0,0,0,0,0,0,0
MIR4280,0,0,0,0,0,0,0,0,0
MIR5692C1,0,0,0,0,0,0,0,0,0
MIR5195,0,0,0,0,0,0,0,0,0
MIR3146,0,0,0,1,1,0,0,2,0
LINC00668,0,0,0,0,0,1,0,1,0
UBE2CP2,7,10,2,7,6,3,9,17,1
RN7SL577P,1,3,0,0,0,0,0,0,2
LINC01387,0,0,0,0,0,0,0,1,0
MIR4749,0,0,0,0,0,0,0,0,0
MIR4445,0,0,0,0,0,0,0,0,0
MIR4319,0,0,0,0,0,0,0,0,0
GACAT2,129,126,106,70,58,74,59,122,110
MIR4266,0,0,0,0,0,0,0,0,0
TXNIP,16028,13774,5717,8921,8832,5932,11072,16275,5339
MIR4725,0,0,0,0,0,0,0,0,0
MIR544B,4,0,2,2,2,0,2,0,0
MIR4735,0,0,0,0,0,0,0,0,0
MIR4519,0,0,0,0,0,0,0,0,0
ESRG,0,0,0,0,0,0,0,0,0
MIR5694,0,0,0,0,0,0,0,0,0
MIR3671,2,2,0,1,3,1,2,5,0
MIR4488,0,0,0,0,0,0,0,0,0
GATA6-AS1,11,10,4,9,14,1,9,18,4
MIR4764,0,0,0,0,0,0,0,0,0
LINC02079,0,0,0,0,0,0,0,0,0
MIR4309,0,0,0,0,0,0,0,0,0
MIR548Z,0,0,0,0,0,0,0,0,0
MIR4477B,50,68,8,47,45,38,67,58,11
MIR3609,16,10,5,6,10,7,7,13,2
SRGAP2,6071,5246,3467,3791,3661,4066,4281,4854,3845
MIR4659A,0,2,0,0,0,0,0,0,0
MIR4509-2,0,0,0,0,0,0,0,0,0
MIR4690,0,0,0,0,0,0,0,0,0
MIR3649,2,4,6,1,1,1,1,0,3
MIR4500,0,0,0,0,0,0,0,0,0
NDUFV2-AS1,95,123,56,89,62,48,101,95,52
RN7SL140P,0,0,0,0,0,0,0,0,0
MIR4771-2,0,0,0,0,0,1,0,0,2
POLRMTP1,22,16,19,4,8,7,10,9,8
MIR3617,0,0,0,0,2,0,0,0,0
MIR5693,0,0,0,2,0,0,0,0,1
BAHCC1,1466,1277,578,910,924,785,1059,1560,853
RN7SL574P,3,0,0,1,1,2,2,6,0
MIR4432,0,0,0,0,0,0,0,0,0
RASSF5,470,362,178,295,271,233,364,444,225
MIR5192,0,1,0,0,0,0,0,0,0
MIR5700,0,0,0,0,0,0,0,0,0
LOC101927557,0,0,0,0,0,0,0,0,0
MIR4326,8,9,3,6,2,6,8,2,2
LOC100287539,0,0,0,0,0,0,0,0,0
MIR4525,0,0,0,0,0,0,0,0,0
MIR4440,0,0,0,0,0,0,0,0,0
MIR4423,2,0,0,0,0,0,0,0,0
MIR5587,10,15,4,5,13,1,11,3,3
ZNF415P1,1,0,0,0,0,0,0,1,0
RN7SL366P,0,0,0,0,0,0,0,0,0
SRP68P1,2,0,0,0,2,0,0,0,0
MIR4759,0,0,0,1,2,0,0,1,0
MIR4435-2,0,0,0,0,0,0,0,0,0
MIR4533,0,0,0,0,0,0,0,0,0
MIR4654,0,0,0,0,0,0,0,0,0
RHOT1P1,26,24,25,16,21,15,23,33,18
MIR5190,0,0,0,0,0,0,0,0,0
MIR5583-1,0,0,0,0,0,0,0,0,0
LOC100192426,0,0,0,2,0,1,1,1,2
MIR4711,0,0,0,0,0,0,0,0,0
MIR3646,0,0,0,0,0,0,0,0,0
RN7SL785P,0,0,0,0,0,0,0,0,2
RN7SL612P,0,0,0,0,0,0,0,0,0
YWHAEP2,0,0,0,0,0,0,0,0,0
RN7SL557P,0,0,0,0,0,0,0,0,0
MIR3147,0,0,1,0,0,0,0,0,3
STRADA,1230,962,707,785,725,800,847,1003,685
MIR4666A,0,0,0,0,0,0,0,0,0
MIR4282,0,0,0,0,0,0,0,0,0
RN7SL804P,0,0,0,0,0,0,0,0,0
RN7SL480P,0,0,0,0,0,0,0,0,0
MIR3186,10,9,6,10,3,2,1,4,3
MIR1260B,0,0,0,0,0,0,0,0,0
MIR4661,0,0,0,0,0,0,0,0,0
RN7SL163P,0,0,0,0,0,0,0,0,0
PNLIPRP2,0,1,0,0,0,0,0,0,1
MIR5585,1,0,0,1,0,1,0,0,0
MIR5589,0,0,0,0,0,0,0,0,0
MIR3926-1,0,0,0,0,0,0,0,0,0
RN7SL371P,0,0,0,0,0,0,0,0,0
MIR3156-3,0,0,0,0,0,0,0,0,0
MIR3167,1,2,4,1,0,5,0,3,0
MIR4323,0,0,0,0,0,0,0,0,0
MIR3611,0,0,0,0,0,0,0,0,0
MIR3178,0,0,0,0,0,0,0,0,0
MIR3176,21,29,13,9,21,13,14,17,7
MIR5091,2,0,0,0,0,0,0,1,0
GRAMD4P7,358,374,164,202,273,170,235,251,159
MIR4279,0,0,0,0,0,0,1,0,0
MIR4644,1,0,0,0,0,1,0,4,0
MIR4475,0,0,0,0,0,0,0,0,0
LINC00908,0,0,2,0,0,0,0,0,4
LINC01909,59,44,95,40,29,86,43,49,86
MIR4428,2,4,0,2,1,0,2,2,0
KLF14,3,0,2,0,0,0,0,0,0
RN7SL138P,0,0,3,0,0,1,0,1,0
MIR4743,0,0,0,0,0,0,0,0,0
LINC01910,41,24,31,21,36,31,26,18,35
MIR3683,0,0,0,0,0,0,0,0,0
DYNLL2-DT,3,0,0,0,1,6,0,1,0
MIR3180-3,0,0,0,0,0,0,0,0,0
MIR744,0,0,0,0,0,0,0,0,0
MIR3118-1,0,0,0,0,0,0,0,0,0
MIR4518,0,0,0,0,0,0,0,0,0
MIR5093,0,0,0,0,0,0,0,0,0
RN7SL510P,1,0,0,0,0,0,0,0,1
MIR4668,3,5,0,1,0,4,1,4,1
RN7SL703P,0,0,0,0,0,0,0,0,0
MIR5692A1,1,2,0,0,2,0,1,0,0
MIR3909,0,1,0,0,0,0,0,1,0
MIR4293,0,0,0,0,0,0,0,0,0
MIR4663,0,0,0,0,0,0,0,0,0
MIR3665,0,0,0,0,0,0,0,0,0
MIR4503,0,0,0,0,0,0,0,0,0
MIR4536-2,0,0,0,0,0,0,0,0,0
MIR4281,0,0,0,0,0,0,0,0,0
NBPF15,3274,2865,2839,2146,2044,3537,2412,2505,2806
MIR4776-1,0,0,0,0,0,0,0,0,0
LOC100996361,1,0,3,0,1,2,1,0,0
MIR3657,11,6,13,5,5,9,0,11,3
MIR5002,0,0,0,0,0,0,0,0,0
MIR4740,1,5,3,0,0,1,0,0,1
MIR4273,0,0,0,0,0,0,0,0,0
LOC105371967,42,24,17,29,21,31,36,22,25
SNHG25,39,28,13,16,26,14,19,37,13
CBX3P2,94,62,20,50,66,18,50,53,9
MIR3157,0,0,0,0,0,0,0,0,0
NCOA4,22554,18127,15550,13193,13285,17182,14980,16387,14224
MIR4636,0,0,0,0,0,0,0,0,0
MIR4424,0,0,0,0,0,0,0,0,0
RN7SL118P,1,2,2,3,0,5,2,0,1
MIR4451,0,0,0,0,0,5,0,0,0
MIR3163,0,0,0,0,0,0,0,0,0
MIR4719,0,0,0,0,0,0,0,0,0
MIR5580,0,0,0,0,0,0,0,0,0
TBC1D3P5,0,0,0,0,0,0,0,0,0
MIR4264,0,0,0,0,0,0,0,0,0
MIR4746,0,0,0,0,0,0,0,0,0
RN7SL493P,0,0,0,0,0,0,0,0,0
MIR3713,0,0,0,0,0,0,0,0,0
MIR3179-3,0,0,0,0,0,0,0,0,0
MIR4259,0,0,0,0,0,0,0,0,0
MIR2392,0,0,0,0,0,0,0,0,0
MIR3196,0,0,0,0,0,0,0,0,0
RN7SL220P,1,0,0,0,0,5,1,2,1
MRPS21,6408,5221,2862,3813,3922,2952,4220,4684,2892
RN7SL616P,0,0,0,0,0,0,0,0,0
MIR5197,0,0,0,0,0,0,0,0,0
MIR4641,1,3,4,1,0,9,1,0,0
RDM1P2,0,0,0,0,1,0,0,0,0
MIR5681A,0,0,0,0,0,0,0,0,0
RN7SL162P,0,0,0,0,0,0,0,0,0
RDM1P1,0,0,0,0,0,0,0,0,0
MIR4479,3,0,0,1,0,4,1,2,1
MIR3201,0,0,0,0,0,0,0,0,0
MIR3934,0,0,0,0,0,0,0,0,0
MIR3689F,0,0,0,0,0,0,0,0,0
MIR4452,0,0,0,0,0,0,0,0,0
MIR4715,0,0,0,0,0,0,0,0,0
MIR4268,0,0,0,0,0,0,0,0,0
GDF10,1,3,0,0,4,0,1,0,0
MIR4650-1,0,0,0,0,0,0,0,0,0
MTCYBP13,0,0,0,0,0,0,0,0,0
MIR4318,0,0,0,0,0,0,0,0,0
MIR4706,1,0,0,2,1,0,0,0,0
MIR3619,8,0,2,3,1,1,0,2,1
MIR5701-1,0,0,0,0,0,0,0,0,0
RN7SL356P,4,9,14,3,1,8,9,3,2
LINC01443,1026,906,941,621,659,1023,855,870,1025
MIR3145,0,0,0,0,0,0,0,1,1
MIR4530,0,0,0,1,5,0,0,1,0
LOC100533997,0,0,0,0,0,0,0,0,0
EIF1P5,0,2,0,1,0,0,0,1,1
MIR4418,0,0,0,0,0,0,0,4,0
RN7SL377P,2,0,0,1,0,3,0,0,0
MIR5579,0,0,0,0,0,0,0,0,0
MIR4254,6,11,0,6,2,5,4,2,0
MIR3166,0,0,0,0,0,0,0,0,0
